trial_id,vignette_id_x,seed,diagnostic_pair,evidence_level,information_quality,feature_ids,evidence_score,ground_truth_label,forced_choice_accuracy_applicable,expected_more_information_needed,expected_confidence_band,prompt_id,variant_type,option_A,option_B,expected_response_format,expected_choice_value,vignette_text,prompt_text,vignette_id_y,model,temperature,max_output_tokens,run_timestamp,call_started_at,status,response_status,incomplete_details,response_id,output_text,latency_seconds,parsed_ok,diagnosis,confidence,more_information_needed,parse_error,chosen_label,choice_correct,more_info_correct,confidence_prob
T_ATNCD_DRCI_S01_01_P01_AB_letters_ATNCD_first,ATNCD_DRCI_S01_01,1,Probable Alzheimer-type neurocognitive disorder vs depression-related cognitive impairment,strong_AT_NCD,clear,ATNCD01;ATNCD02;ATNCD03;ATNCD04;ATNCD05;ATNCD07;ATNCD18,13,AT_NCD,True,False,high,P01_AB_letters_ATNCD_first,letter_options_ATNCD_first,Probable Alzheimer-type neurocognitive disorder,Depression-related cognitive impairment,A_or_B,A,"A 74-year-old patient has had gradually progressive memory decline over 20 months. The spouse reports that the patient repeatedly forgets recent conversations, misplaces important items, and has increasing difficulty managing medications. Cognitive testing shows impaired delayed recall with little improvement from cues. The patient minimizes the severity of the problem, and there is no prominent low mood or anhedonia.","You are given a synthetic clinical vignette for a research study.

Choose the more likely clinical interpretation from the two options provided, based only on the information in the vignette.

Options:
A. Probable Alzheimer-type neurocognitive disorder
B. Depression-related cognitive impairment

Vignette:
A 74-year-old patient has had gradually progressive memory decline over 20 months. The spouse reports that the patient repeatedly forgets recent conversations, misplaces important items, and has increasing difficulty managing medications. Cognitive testing shows impaired delayed recall with little improvement from cues. The patient minimizes the severity of the problem, and there is no prominent low mood or anhedonia.

Return JSON only:
{
  ""diagnosis"": ""A or B"",
  ""confidence"": number from 0 to 100,
  ""more_information_needed"": true or false
}

Confidence means your estimated probability that your chosen interpretation is correct based only on the information provided.
Do not provide medical advice.
Do not explain your reasoning.",ATNCD_DRCI_S01_01,gpt-5-nano,,2000,20260503_151044,2026-05-03T15:10:44.498568,ok,completed,None,resp_09b01a0b0f947abe0069f76574c51881a3ba92b4e0824c671b,"{""diagnosis"":""A"",""confidence"":72,""more_information_needed"":false}",1.375,True,A,72.0,False,,AT_NCD,True,True,0.72
T_ATNCD_DRCI_S01_01_P02_BA_letters_DRCI_first,ATNCD_DRCI_S01_01,1,Probable Alzheimer-type neurocognitive disorder vs depression-related cognitive impairment,strong_AT_NCD,clear,ATNCD01;ATNCD02;ATNCD03;ATNCD04;ATNCD05;ATNCD07;ATNCD18,13,AT_NCD,True,False,high,P02_BA_letters_DRCI_first,letter_options_DRCI_first,Depression-related cognitive impairment,Probable Alzheimer-type neurocognitive disorder,A_or_B,B,"A 74-year-old patient has had gradually progressive memory decline over 20 months. The spouse reports that the patient repeatedly forgets recent conversations, misplaces important items, and has increasing difficulty managing medications. Cognitive testing shows impaired delayed recall with little improvement from cues. The patient minimizes the severity of the problem, and there is no prominent low mood or anhedonia.","You are given a synthetic clinical vignette for a research study.

Choose the more likely clinical interpretation from the two options provided, based only on the information in the vignette.

Options:
A. Depression-related cognitive impairment
B. Probable Alzheimer-type neurocognitive disorder

Vignette:
A 74-year-old patient has had gradually progressive memory decline over 20 months. The spouse reports that the patient repeatedly forgets recent conversations, misplaces important items, and has increasing difficulty managing medications. Cognitive testing shows impaired delayed recall with little improvement from cues. The patient minimizes the severity of the problem, and there is no prominent low mood or anhedonia.

Return JSON only:
{
  ""diagnosis"": ""A or B"",
  ""confidence"": number from 0 to 100,
  ""more_information_needed"": true or false
}

Confidence means your estimated probability that your chosen interpretation is correct based only on the information provided.
Do not provide medical advice.
Do not explain your reasoning.",ATNCD_DRCI_S01_01,gpt-5-nano,,2000,20260503_151044,2026-05-03T15:10:46.075537,ok,completed,None,resp_04eb10c6f4f379880069f76576ce70819383a4ab7f4b62499e,"{""diagnosis"":""B"",""confidence"":77,""more_information_needed"":false}",2.477,True,B,77.0,False,,AT_NCD,True,True,0.77
T_ATNCD_DRCI_S01_01_P03_named_options_ATNCD_first,ATNCD_DRCI_S01_01,1,Probable Alzheimer-type neurocognitive disorder vs depression-related cognitive impairment,strong_AT_NCD,clear,ATNCD01;ATNCD02;ATNCD03;ATNCD04;ATNCD05;ATNCD07;ATNCD18,13,AT_NCD,True,False,high,P03_named_options_ATNCD_first,named_options_ATNCD_first,Probable Alzheimer-type neurocognitive disorder,Depression-related cognitive impairment,full_diagnosis_label,Probable Alzheimer-type neurocognitive disorder,"A 74-year-old patient has had gradually progressive memory decline over 20 months. The spouse reports that the patient repeatedly forgets recent conversations, misplaces important items, and has increasing difficulty managing medications. Cognitive testing shows impaired delayed recall with little improvement from cues. The patient minimizes the severity of the problem, and there is no prominent low mood or anhedonia.","You are given a synthetic clinical vignette for a research study.

Choose the more likely clinical interpretation from the two options provided, based only on the information in the vignette.

Options:
- Probable Alzheimer-type neurocognitive disorder
- Depression-related cognitive impairment

Vignette:
A 74-year-old patient has had gradually progressive memory decline over 20 months. The spouse reports that the patient repeatedly forgets recent conversations, misplaces important items, and has increasing difficulty managing medications. Cognitive testing shows impaired delayed recall with little improvement from cues. The patient minimizes the severity of the problem, and there is no prominent low mood or anhedonia.

Return JSON only:
{
  ""diagnosis"": ""Probable Alzheimer-type neurocognitive disorder or Depression-related cognitive impairment"",
  ""confidence"": number from 0 to 100,
  ""more_information_needed"": true or false
}

Confidence means your estimated probability that your chosen interpretation is correct based only on the information provided.
Do not provide medical advice.
Do not explain your reasoning.",ATNCD_DRCI_S01_01,gpt-5-nano,,2000,20260503_151044,2026-05-03T15:10:48.754920,ok,completed,None,resp_0064b56dfd7c4cf30069f76578d5f0819f8ec12163fe3ea4b4,"{""diagnosis"":""A"",""confidence"":72,""more_information_needed"":false}",0.918,True,A,72.0,False,,AT_NCD,True,True,0.72
T_ATNCD_DRCI_S01_02_P01_AB_letters_ATNCD_first,ATNCD_DRCI_S01_02,1,Probable Alzheimer-type neurocognitive disorder vs depression-related cognitive impairment,strong_AT_NCD,conflicting,ATNCD01;ATNCD02;ATNCD03;ATNCD06;ATNCD04;DRCI04;DRCI11;C01,7,AT_NCD,True,True,moderate_to_high,P01_AB_letters_ATNCD_first,letter_options_ATNCD_first,Probable Alzheimer-type neurocognitive disorder,Depression-related cognitive impairment,A_or_B,A,"A 76-year-old patient has shown progressive memory decline over two years, confirmed by the spouse. The patient forgets recent conversations, has started missing bill payments, and delayed recall is clearly impaired on testing. However, the patient also reports poor sleep, fatigue, and periods of low mood after a recent family stressor. Despite these mood symptoms, the cognitive decline appears to have preceded them and has continued steadily.","You are given a synthetic clinical vignette for a research study.

Choose the more likely clinical interpretation from the two options provided, based only on the information in the vignette.

Options:
A. Probable Alzheimer-type neurocognitive disorder
B. Depression-related cognitive impairment

Vignette:
A 76-year-old patient has shown progressive memory decline over two years, confirmed by the spouse. The patient forgets recent conversations, has started missing bill payments, and delayed recall is clearly impaired on testing. However, the patient also reports poor sleep, fatigue, and periods of low mood after a recent family stressor. Despite these mood symptoms, the cognitive decline appears to have preceded them and has continued steadily.

Return JSON only:
{
  ""diagnosis"": ""A or B"",
  ""confidence"": number from 0 to 100,
  ""more_information_needed"": true or false
}

Confidence means your estimated probability that your chosen interpretation is correct based only on the information provided.
Do not provide medical advice.
Do not explain your reasoning.",ATNCD_DRCI_S01_02,gpt-5-nano,,2000,20260503_151044,2026-05-03T15:10:49.874443,ok,completed,None,resp_076d0aeaadb122ca0069f76579eff88190ae7341fb84015e3b,"{""diagnosis"":""A"",""confidence"":70,""more_information_needed"":false}",1.1,True,A,70.0,False,,AT_NCD,True,False,0.7
T_ATNCD_DRCI_S01_02_P02_BA_letters_DRCI_first,ATNCD_DRCI_S01_02,1,Probable Alzheimer-type neurocognitive disorder vs depression-related cognitive impairment,strong_AT_NCD,conflicting,ATNCD01;ATNCD02;ATNCD03;ATNCD06;ATNCD04;DRCI04;DRCI11;C01,7,AT_NCD,True,True,moderate_to_high,P02_BA_letters_DRCI_first,letter_options_DRCI_first,Depression-related cognitive impairment,Probable Alzheimer-type neurocognitive disorder,A_or_B,B,"A 76-year-old patient has shown progressive memory decline over two years, confirmed by the spouse. The patient forgets recent conversations, has started missing bill payments, and delayed recall is clearly impaired on testing. However, the patient also reports poor sleep, fatigue, and periods of low mood after a recent family stressor. Despite these mood symptoms, the cognitive decline appears to have preceded them and has continued steadily.","You are given a synthetic clinical vignette for a research study.

Choose the more likely clinical interpretation from the two options provided, based only on the information in the vignette.

Options:
A. Depression-related cognitive impairment
B. Probable Alzheimer-type neurocognitive disorder

Vignette:
A 76-year-old patient has shown progressive memory decline over two years, confirmed by the spouse. The patient forgets recent conversations, has started missing bill payments, and delayed recall is clearly impaired on testing. However, the patient also reports poor sleep, fatigue, and periods of low mood after a recent family stressor. Despite these mood symptoms, the cognitive decline appears to have preceded them and has continued steadily.

Return JSON only:
{
  ""diagnosis"": ""A or B"",
  ""confidence"": number from 0 to 100,
  ""more_information_needed"": true or false
}

Confidence means your estimated probability that your chosen interpretation is correct based only on the information provided.
Do not provide medical advice.
Do not explain your reasoning.",ATNCD_DRCI_S01_02,gpt-5-nano,,2000,20260503_151044,2026-05-03T15:10:51.175928,ok,completed,None,resp_05847ee9fb04c5cf0069f7657b42cc819caf6452f58c727b7c,"{""diagnosis"":""B"",""confidence"":72,""more_information_needed"":false}",0.787,True,B,72.0,False,,AT_NCD,True,False,0.72
T_ATNCD_DRCI_S01_02_P03_named_options_ATNCD_first,ATNCD_DRCI_S01_02,1,Probable Alzheimer-type neurocognitive disorder vs depression-related cognitive impairment,strong_AT_NCD,conflicting,ATNCD01;ATNCD02;ATNCD03;ATNCD06;ATNCD04;DRCI04;DRCI11;C01,7,AT_NCD,True,True,moderate_to_high,P03_named_options_ATNCD_first,named_options_ATNCD_first,Probable Alzheimer-type neurocognitive disorder,Depression-related cognitive impairment,full_diagnosis_label,Probable Alzheimer-type neurocognitive disorder,"A 76-year-old patient has shown progressive memory decline over two years, confirmed by the spouse. The patient forgets recent conversations, has started missing bill payments, and delayed recall is clearly impaired on testing. However, the patient also reports poor sleep, fatigue, and periods of low mood after a recent family stressor. Despite these mood symptoms, the cognitive decline appears to have preceded them and has continued steadily.","You are given a synthetic clinical vignette for a research study.

Choose the more likely clinical interpretation from the two options provided, based only on the information in the vignette.

Options:
- Probable Alzheimer-type neurocognitive disorder
- Depression-related cognitive impairment

Vignette:
A 76-year-old patient has shown progressive memory decline over two years, confirmed by the spouse. The patient forgets recent conversations, has started missing bill payments, and delayed recall is clearly impaired on testing. However, the patient also reports poor sleep, fatigue, and periods of low mood after a recent family stressor. Despite these mood symptoms, the cognitive decline appears to have preceded them and has continued steadily.

Return JSON only:
{
  ""diagnosis"": ""Probable Alzheimer-type neurocognitive disorder or Depression-related cognitive impairment"",
  ""confidence"": number from 0 to 100,
  ""more_information_needed"": true or false
}

Confidence means your estimated probability that your chosen interpretation is correct based only on the information provided.
Do not provide medical advice.
Do not explain your reasoning.",ATNCD_DRCI_S01_02,gpt-5-nano,,2000,20260503_151044,2026-05-03T15:10:52.164271,ok,completed,None,resp_0ad1b2470d899d380069f7657c3ca481959722ca1d3e4c7c12,"{""diagnosis"":""A"",""confidence"":72,""more_information_needed"":false}",3.354,True,A,72.0,False,,AT_NCD,True,False,0.72
T_ATNCD_DRCI_S01_03_P01_AB_letters_ATNCD_first,ATNCD_DRCI_S01_03,1,Probable Alzheimer-type neurocognitive disorder vs depression-related cognitive impairment,strong_AT_NCD,missing,ATNCD01;ATNCD03;ATNCD06;ATNCD04;M01;M02;M08,8,AT_NCD,True,True,moderate,P01_AB_letters_ATNCD_first,letter_options_ATNCD_first,Probable Alzheimer-type neurocognitive disorder,Depression-related cognitive impairment,A_or_B,A,"A 75-year-old patient presents with a history suggestive of progressive memory decline over approximately two years. The patient reports forgetting appointments and needing help with medication management. Brief bedside testing suggests impaired delayed recall. No collateral informant is available, and no formal neuropsychological testing or brain imaging has been performed.","You are given a synthetic clinical vignette for a research study.

Choose the more likely clinical interpretation from the two options provided, based only on the information in the vignette.

Options:
A. Probable Alzheimer-type neurocognitive disorder
B. Depression-related cognitive impairment

Vignette:
A 75-year-old patient presents with a history suggestive of progressive memory decline over approximately two years. The patient reports forgetting appointments and needing help with medication management. Brief bedside testing suggests impaired delayed recall. No collateral informant is available, and no formal neuropsychological testing or brain imaging has been performed.

Return JSON only:
{
  ""diagnosis"": ""A or B"",
  ""confidence"": number from 0 to 100,
  ""more_information_needed"": true or false
}

Confidence means your estimated probability that your chosen interpretation is correct based only on the information provided.
Do not provide medical advice.
Do not explain your reasoning.",ATNCD_DRCI_S01_03,gpt-5-nano,,2000,20260503_151044,2026-05-03T15:10:55.720083,ok,completed,None,resp_0590b45cda5d60010069f7657fcf6881a1b821631bbfd49849,"{""diagnosis"":""A"",""confidence"":63,""more_information_needed"":true}",2.059,True,A,63.0,True,,AT_NCD,True,True,0.63
T_ATNCD_DRCI_S01_03_P02_BA_letters_DRCI_first,ATNCD_DRCI_S01_03,1,Probable Alzheimer-type neurocognitive disorder vs depression-related cognitive impairment,strong_AT_NCD,missing,ATNCD01;ATNCD03;ATNCD06;ATNCD04;M01;M02;M08,8,AT_NCD,True,True,moderate,P02_BA_letters_DRCI_first,letter_options_DRCI_first,Depression-related cognitive impairment,Probable Alzheimer-type neurocognitive disorder,A_or_B,B,"A 75-year-old patient presents with a history suggestive of progressive memory decline over approximately two years. The patient reports forgetting appointments and needing help with medication management. Brief bedside testing suggests impaired delayed recall. No collateral informant is available, and no formal neuropsychological testing or brain imaging has been performed.","You are given a synthetic clinical vignette for a research study.

Choose the more likely clinical interpretation from the two options provided, based only on the information in the vignette.

Options:
A. Depression-related cognitive impairment
B. Probable Alzheimer-type neurocognitive disorder

Vignette:
A 75-year-old patient presents with a history suggestive of progressive memory decline over approximately two years. The patient reports forgetting appointments and needing help with medication management. Brief bedside testing suggests impaired delayed recall. No collateral informant is available, and no formal neuropsychological testing or brain imaging has been performed.

Return JSON only:
{
  ""diagnosis"": ""A or B"",
  ""confidence"": number from 0 to 100,
  ""more_information_needed"": true or false
}

Confidence means your estimated probability that your chosen interpretation is correct based only on the information provided.
Do not provide medical advice.
Do not explain your reasoning.",ATNCD_DRCI_S01_03,gpt-5-nano,,2000,20260503_151044,2026-05-03T15:10:57.980557,ok,completed,None,resp_03a4890748e04ac00069f765823890819d934274ff390b6ade,"{""diagnosis"":""B"",""confidence"":68,""more_information_needed"":true}",6.196,True,B,68.0,True,,AT_NCD,True,True,0.68
T_ATNCD_DRCI_S01_03_P03_named_options_ATNCD_first,ATNCD_DRCI_S01_03,1,Probable Alzheimer-type neurocognitive disorder vs depression-related cognitive impairment,strong_AT_NCD,missing,ATNCD01;ATNCD03;ATNCD06;ATNCD04;M01;M02;M08,8,AT_NCD,True,True,moderate,P03_named_options_ATNCD_first,named_options_ATNCD_first,Probable Alzheimer-type neurocognitive disorder,Depression-related cognitive impairment,full_diagnosis_label,Probable Alzheimer-type neurocognitive disorder,"A 75-year-old patient presents with a history suggestive of progressive memory decline over approximately two years. The patient reports forgetting appointments and needing help with medication management. Brief bedside testing suggests impaired delayed recall. No collateral informant is available, and no formal neuropsychological testing or brain imaging has been performed.","You are given a synthetic clinical vignette for a research study.

Choose the more likely clinical interpretation from the two options provided, based only on the information in the vignette.

Options:
- Probable Alzheimer-type neurocognitive disorder
- Depression-related cognitive impairment

Vignette:
A 75-year-old patient presents with a history suggestive of progressive memory decline over approximately two years. The patient reports forgetting appointments and needing help with medication management. Brief bedside testing suggests impaired delayed recall. No collateral informant is available, and no formal neuropsychological testing or brain imaging has been performed.

Return JSON only:
{
  ""diagnosis"": ""Probable Alzheimer-type neurocognitive disorder or Depression-related cognitive impairment"",
  ""confidence"": number from 0 to 100,
  ""more_information_needed"": true or false
}

Confidence means your estimated probability that your chosen interpretation is correct based only on the information provided.
Do not provide medical advice.
Do not explain your reasoning.",ATNCD_DRCI_S01_03,gpt-5-nano,,2000,20260503_151044,2026-05-03T15:11:04.378763,ok,completed,None,resp_0bd7a19fd00a9ce70069f7658870f08194a3ae6ec27eef18e0,"{""diagnosis"":""A"",""confidence"":60,""more_information_needed"":true}",1.041,True,A,60.0,True,,AT_NCD,True,True,0.6
T_ATNCD_DRCI_S01_04_P01_AB_letters_ATNCD_first,ATNCD_DRCI_S01_04,1,Probable Alzheimer-type neurocognitive disorder vs depression-related cognitive impairment,moderate_AT_NCD,clear,ATNCD01;ATNCD02;ATNCD03;ATNCD04;N03;ATNCD18,9,AT_NCD,True,False,moderate,P01_AB_letters_ATNCD_first,letter_options_ATNCD_first,Probable Alzheimer-type neurocognitive disorder,Depression-related cognitive impairment,A_or_B,A,"A 72-year-old patient has developed increasing forgetfulness over the past year. The spouse reports repeated questions and mild difficulty keeping track of appointments. Cognitive screening shows reduced delayed recall, but daily function is mostly preserved. The patient does not report significant depressive symptoms.","You are given a synthetic clinical vignette for a research study.

Choose the more likely clinical interpretation from the two options provided, based only on the information in the vignette.

Options:
A. Probable Alzheimer-type neurocognitive disorder
B. Depression-related cognitive impairment

Vignette:
A 72-year-old patient has developed increasing forgetfulness over the past year. The spouse reports repeated questions and mild difficulty keeping track of appointments. Cognitive screening shows reduced delayed recall, but daily function is mostly preserved. The patient does not report significant depressive symptoms.

Return JSON only:
{
  ""diagnosis"": ""A or B"",
  ""confidence"": number from 0 to 100,
  ""more_information_needed"": true or false
}

Confidence means your estimated probability that your chosen interpretation is correct based only on the information provided.
Do not provide medical advice.
Do not explain your reasoning.",ATNCD_DRCI_S01_04,gpt-5-nano,,2000,20260503_151044,2026-05-03T15:11:05.621106,ok,completed,None,resp_0929fbc69ca488780069f76589b44c8193beead1dc5c3959d1,"{""diagnosis"":""A"",""confidence"":76,""more_information_needed"":false}",2.802,True,A,76.0,False,,AT_NCD,True,True,0.76
