vignette_id,diagnostic_pair,seed,condition_index,evidence_level,information_quality,feature_ids,evidence_score,ground_truth_label,forced_choice_accuracy_applicable,expected_more_information_needed,expected_confidence_band,vignette_text
ATNCD_DRCI_S01_01,Probable Alzheimer-type neurocognitive disorder vs depression-related cognitive impairment,1,1,strong_AT_NCD,clear,ATNCD01;ATNCD02;ATNCD03;ATNCD04;ATNCD05;ATNCD07;ATNCD18,13,AT_NCD,True,False,high,"A 74-year-old patient has had gradually progressive memory decline over 20 months. The spouse reports that the patient repeatedly forgets recent conversations, misplaces important items, and has increasing difficulty managing medications. Cognitive testing shows impaired delayed recall with little improvement from cues. The patient minimizes the severity of the problem, and there is no prominent low mood or anhedonia."
ATNCD_DRCI_S01_02,Probable Alzheimer-type neurocognitive disorder vs depression-related cognitive impairment,1,2,strong_AT_NCD,conflicting,ATNCD01;ATNCD02;ATNCD03;ATNCD06;ATNCD04;DRCI04;DRCI11;C01,7,AT_NCD,True,True,moderate_to_high,"A 76-year-old patient has shown progressive memory decline over two years, confirmed by the spouse. The patient forgets recent conversations, has started missing bill payments, and delayed recall is clearly impaired on testing. However, the patient also reports poor sleep, fatigue, and periods of low mood after a recent family stressor. Despite these mood symptoms, the cognitive decline appears to have preceded them and has continued steadily."
ATNCD_DRCI_S01_03,Probable Alzheimer-type neurocognitive disorder vs depression-related cognitive impairment,1,3,strong_AT_NCD,missing,ATNCD01;ATNCD03;ATNCD06;ATNCD04;M01;M02;M08,8,AT_NCD,True,True,moderate,"A 75-year-old patient presents with a history suggestive of progressive memory decline over approximately two years. The patient reports forgetting appointments and needing help with medication management. Brief bedside testing suggests impaired delayed recall. No collateral informant is available, and no formal neuropsychological testing or brain imaging has been performed."
ATNCD_DRCI_S01_04,Probable Alzheimer-type neurocognitive disorder vs depression-related cognitive impairment,1,4,moderate_AT_NCD,clear,ATNCD01;ATNCD02;ATNCD03;ATNCD04;N03;ATNCD18,9,AT_NCD,True,False,moderate,"A 72-year-old patient has developed increasing forgetfulness over the past year. The spouse reports repeated questions and mild difficulty keeping track of appointments. Cognitive screening shows reduced delayed recall, but daily function is mostly preserved. The patient does not report significant depressive symptoms."
ATNCD_DRCI_S01_05,Probable Alzheimer-type neurocognitive disorder vs depression-related cognitive impairment,1,5,moderate_AT_NCD,conflicting,ATNCD03;ATNCD04;ATNCD14;DRCI02;DRCI04;C03,1,AT_NCD,True,True,low_to_moderate,"A 73-year-old patient has had memory complaints for one year, with the spouse noticing repeated questions and occasional missed appointments. Cognitive screening shows mildly impaired delayed recall. The patient also reports low mood, reduced motivation, and poor sleep during the same period. It is unclear whether the cognitive symptoms worsen when mood symptoms are more severe."
ATNCD_DRCI_S01_06,Probable Alzheimer-type neurocognitive disorder vs depression-related cognitive impairment,1,6,moderate_AT_NCD,missing,ATNCD01;ATNCD16;ATNCD03;M01;M02;M05,5,AT_NCD,True,True,low_to_moderate,"A 71-year-old patient reports gradually worsening memory problems over the past year. There are examples of missed appointments and difficulty following new instructions. No family member is available to confirm the course, and no objective cognitive testing has been completed. Mood symptoms have not been systematically assessed."
ATNCD_DRCI_S01_07,Probable Alzheimer-type neurocognitive disorder vs depression-related cognitive impairment,1,7,equivocal,clear,N04;DRCI04;DRCI03;N05;N02;N06,-4,underdetermined,False,True,low,"A 73-year-old patient reports memory problems and reduced concentration. The patient has mild forgetfulness, fatigue, and some loss of interest in usual activities. There is no clear collateral history of functional decline. Brief cognitive testing shows mild nonspecific impairment, but the pattern is not clearly amnestic or executive."
ATNCD_DRCI_S01_08,Probable Alzheimer-type neurocognitive disorder vs depression-related cognitive impairment,1,8,equivocal,conflicting,ATNCD03;DRCI02;DRCI04;DRCI05;DRCI15;ATNCD04;DRCI06;C09,-5,underdetermined,False,True,low,"A 74-year-old patient has memory complaints, poor sleep, and low mood. The spouse reports some repeated questions, but the patient is also highly distressed by the cognitive symptoms and says they are unable to perform tasks before attempting them. Cognitive testing shows variable effort with some delayed recall impairment. Functional decline is uncertain."
ATNCD_DRCI_S01_09,Probable Alzheimer-type neurocognitive disorder vs depression-related cognitive impairment,1,9,equivocal,missing,N04;M01;M02;M03;M04;M05;DRCI04,-2,underdetermined,False,True,very_low,"A 72-year-old patient presents with memory complaints and reduced concentration. The onset and progression are unclear. No informant is available, no objective cognitive testing has been performed, and mood symptoms have not been systematically assessed. It is also unclear whether daily activities have declined."
ATNCD_DRCI_S01_10,Probable Alzheimer-type neurocognitive disorder vs depression-related cognitive impairment,1,10,moderate_DRCI,clear,DRCI01;DRCI02;DRCI03;DRCI04;DRCI07;DRCI16,-11,DRCI,True,False,moderate,"A 70-year-old patient reports memory problems that began during a depressive episode. The patient describes persistent low mood, reduced interest, poor sleep, fatigue, and difficulty concentrating. Cognitive testing shows slowed processing speed and executive inefficiency more than a stable amnestic pattern. Instrumental daily activities are mostly intact when motivation is adequate."
