trial_id,vignette_id,seed,diagnostic_pair,evidence_level,information_quality,feature_ids,evidence_score,ground_truth_label,forced_choice_accuracy_applicable,expected_more_information_needed,expected_confidence_band,prompt_id,variant_type,option_A,option_B,expected_response_format,expected_choice_value,vignette_text,prompt_text
T_ATNCD_DRCI_S01_01_P01_AB_letters_ATNCD_first,ATNCD_DRCI_S01_01,1,Probable Alzheimer-type neurocognitive disorder vs depression-related cognitive impairment,strong_AT_NCD,clear,ATNCD01;ATNCD02;ATNCD03;ATNCD04;ATNCD05;ATNCD07;ATNCD18,13,AT_NCD,True,False,high,P01_AB_letters_ATNCD_first,letter_options_ATNCD_first,Probable Alzheimer-type neurocognitive disorder,Depression-related cognitive impairment,A_or_B,A,"A 74-year-old patient has had gradually progressive memory decline over 20 months. The spouse reports that the patient repeatedly forgets recent conversations, misplaces important items, and has increasing difficulty managing medications. Cognitive testing shows impaired delayed recall with little improvement from cues. The patient minimizes the severity of the problem, and there is no prominent low mood or anhedonia.","You are given a synthetic clinical vignette for a research study.

Choose the more likely clinical interpretation from the two options provided, based only on the information in the vignette.

Options:
A. Probable Alzheimer-type neurocognitive disorder
B. Depression-related cognitive impairment

Vignette:
A 74-year-old patient has had gradually progressive memory decline over 20 months. The spouse reports that the patient repeatedly forgets recent conversations, misplaces important items, and has increasing difficulty managing medications. Cognitive testing shows impaired delayed recall with little improvement from cues. The patient minimizes the severity of the problem, and there is no prominent low mood or anhedonia.

Return JSON only:
{
  ""diagnosis"": ""A or B"",
  ""confidence"": number from 0 to 100,
  ""more_information_needed"": true or false
}

Confidence means your estimated probability that your chosen interpretation is correct based only on the information provided.
Do not provide medical advice.
Do not explain your reasoning."
T_ATNCD_DRCI_S01_01_P02_BA_letters_DRCI_first,ATNCD_DRCI_S01_01,1,Probable Alzheimer-type neurocognitive disorder vs depression-related cognitive impairment,strong_AT_NCD,clear,ATNCD01;ATNCD02;ATNCD03;ATNCD04;ATNCD05;ATNCD07;ATNCD18,13,AT_NCD,True,False,high,P02_BA_letters_DRCI_first,letter_options_DRCI_first,Depression-related cognitive impairment,Probable Alzheimer-type neurocognitive disorder,A_or_B,B,"A 74-year-old patient has had gradually progressive memory decline over 20 months. The spouse reports that the patient repeatedly forgets recent conversations, misplaces important items, and has increasing difficulty managing medications. Cognitive testing shows impaired delayed recall with little improvement from cues. The patient minimizes the severity of the problem, and there is no prominent low mood or anhedonia.","You are given a synthetic clinical vignette for a research study.

Choose the more likely clinical interpretation from the two options provided, based only on the information in the vignette.

Options:
A. Depression-related cognitive impairment
B. Probable Alzheimer-type neurocognitive disorder

Vignette:
A 74-year-old patient has had gradually progressive memory decline over 20 months. The spouse reports that the patient repeatedly forgets recent conversations, misplaces important items, and has increasing difficulty managing medications. Cognitive testing shows impaired delayed recall with little improvement from cues. The patient minimizes the severity of the problem, and there is no prominent low mood or anhedonia.

Return JSON only:
{
  ""diagnosis"": ""A or B"",
  ""confidence"": number from 0 to 100,
  ""more_information_needed"": true or false
}

Confidence means your estimated probability that your chosen interpretation is correct based only on the information provided.
Do not provide medical advice.
Do not explain your reasoning."
T_ATNCD_DRCI_S01_01_P03_named_options_ATNCD_first,ATNCD_DRCI_S01_01,1,Probable Alzheimer-type neurocognitive disorder vs depression-related cognitive impairment,strong_AT_NCD,clear,ATNCD01;ATNCD02;ATNCD03;ATNCD04;ATNCD05;ATNCD07;ATNCD18,13,AT_NCD,True,False,high,P03_named_options_ATNCD_first,named_options_ATNCD_first,Probable Alzheimer-type neurocognitive disorder,Depression-related cognitive impairment,full_diagnosis_label,Probable Alzheimer-type neurocognitive disorder,"A 74-year-old patient has had gradually progressive memory decline over 20 months. The spouse reports that the patient repeatedly forgets recent conversations, misplaces important items, and has increasing difficulty managing medications. Cognitive testing shows impaired delayed recall with little improvement from cues. The patient minimizes the severity of the problem, and there is no prominent low mood or anhedonia.","You are given a synthetic clinical vignette for a research study.

Choose the more likely clinical interpretation from the two options provided, based only on the information in the vignette.

Options:
- Probable Alzheimer-type neurocognitive disorder
- Depression-related cognitive impairment

Vignette:
A 74-year-old patient has had gradually progressive memory decline over 20 months. The spouse reports that the patient repeatedly forgets recent conversations, misplaces important items, and has increasing difficulty managing medications. Cognitive testing shows impaired delayed recall with little improvement from cues. The patient minimizes the severity of the problem, and there is no prominent low mood or anhedonia.

Return JSON only:
{
  ""diagnosis"": ""Probable Alzheimer-type neurocognitive disorder or Depression-related cognitive impairment"",
  ""confidence"": number from 0 to 100,
  ""more_information_needed"": true or false
}

Confidence means your estimated probability that your chosen interpretation is correct based only on the information provided.
Do not provide medical advice.
Do not explain your reasoning."
T_ATNCD_DRCI_S01_02_P01_AB_letters_ATNCD_first,ATNCD_DRCI_S01_02,1,Probable Alzheimer-type neurocognitive disorder vs depression-related cognitive impairment,strong_AT_NCD,conflicting,ATNCD01;ATNCD02;ATNCD03;ATNCD06;ATNCD04;DRCI04;DRCI11;C01,7,AT_NCD,True,True,moderate_to_high,P01_AB_letters_ATNCD_first,letter_options_ATNCD_first,Probable Alzheimer-type neurocognitive disorder,Depression-related cognitive impairment,A_or_B,A,"A 76-year-old patient has shown progressive memory decline over two years, confirmed by the spouse. The patient forgets recent conversations, has started missing bill payments, and delayed recall is clearly impaired on testing. However, the patient also reports poor sleep, fatigue, and periods of low mood after a recent family stressor. Despite these mood symptoms, the cognitive decline appears to have preceded them and has continued steadily.","You are given a synthetic clinical vignette for a research study.

Choose the more likely clinical interpretation from the two options provided, based only on the information in the vignette.

Options:
A. Probable Alzheimer-type neurocognitive disorder
B. Depression-related cognitive impairment

Vignette:
A 76-year-old patient has shown progressive memory decline over two years, confirmed by the spouse. The patient forgets recent conversations, has started missing bill payments, and delayed recall is clearly impaired on testing. However, the patient also reports poor sleep, fatigue, and periods of low mood after a recent family stressor. Despite these mood symptoms, the cognitive decline appears to have preceded them and has continued steadily.

Return JSON only:
{
  ""diagnosis"": ""A or B"",
  ""confidence"": number from 0 to 100,
  ""more_information_needed"": true or false
}

Confidence means your estimated probability that your chosen interpretation is correct based only on the information provided.
Do not provide medical advice.
Do not explain your reasoning."
T_ATNCD_DRCI_S01_02_P02_BA_letters_DRCI_first,ATNCD_DRCI_S01_02,1,Probable Alzheimer-type neurocognitive disorder vs depression-related cognitive impairment,strong_AT_NCD,conflicting,ATNCD01;ATNCD02;ATNCD03;ATNCD06;ATNCD04;DRCI04;DRCI11;C01,7,AT_NCD,True,True,moderate_to_high,P02_BA_letters_DRCI_first,letter_options_DRCI_first,Depression-related cognitive impairment,Probable Alzheimer-type neurocognitive disorder,A_or_B,B,"A 76-year-old patient has shown progressive memory decline over two years, confirmed by the spouse. The patient forgets recent conversations, has started missing bill payments, and delayed recall is clearly impaired on testing. However, the patient also reports poor sleep, fatigue, and periods of low mood after a recent family stressor. Despite these mood symptoms, the cognitive decline appears to have preceded them and has continued steadily.","You are given a synthetic clinical vignette for a research study.

Choose the more likely clinical interpretation from the two options provided, based only on the information in the vignette.

Options:
A. Depression-related cognitive impairment
B. Probable Alzheimer-type neurocognitive disorder

Vignette:
A 76-year-old patient has shown progressive memory decline over two years, confirmed by the spouse. The patient forgets recent conversations, has started missing bill payments, and delayed recall is clearly impaired on testing. However, the patient also reports poor sleep, fatigue, and periods of low mood after a recent family stressor. Despite these mood symptoms, the cognitive decline appears to have preceded them and has continued steadily.

Return JSON only:
{
  ""diagnosis"": ""A or B"",
  ""confidence"": number from 0 to 100,
  ""more_information_needed"": true or false
}

Confidence means your estimated probability that your chosen interpretation is correct based only on the information provided.
Do not provide medical advice.
Do not explain your reasoning."
T_ATNCD_DRCI_S01_02_P03_named_options_ATNCD_first,ATNCD_DRCI_S01_02,1,Probable Alzheimer-type neurocognitive disorder vs depression-related cognitive impairment,strong_AT_NCD,conflicting,ATNCD01;ATNCD02;ATNCD03;ATNCD06;ATNCD04;DRCI04;DRCI11;C01,7,AT_NCD,True,True,moderate_to_high,P03_named_options_ATNCD_first,named_options_ATNCD_first,Probable Alzheimer-type neurocognitive disorder,Depression-related cognitive impairment,full_diagnosis_label,Probable Alzheimer-type neurocognitive disorder,"A 76-year-old patient has shown progressive memory decline over two years, confirmed by the spouse. The patient forgets recent conversations, has started missing bill payments, and delayed recall is clearly impaired on testing. However, the patient also reports poor sleep, fatigue, and periods of low mood after a recent family stressor. Despite these mood symptoms, the cognitive decline appears to have preceded them and has continued steadily.","You are given a synthetic clinical vignette for a research study.

Choose the more likely clinical interpretation from the two options provided, based only on the information in the vignette.

Options:
- Probable Alzheimer-type neurocognitive disorder
- Depression-related cognitive impairment

Vignette:
A 76-year-old patient has shown progressive memory decline over two years, confirmed by the spouse. The patient forgets recent conversations, has started missing bill payments, and delayed recall is clearly impaired on testing. However, the patient also reports poor sleep, fatigue, and periods of low mood after a recent family stressor. Despite these mood symptoms, the cognitive decline appears to have preceded them and has continued steadily.

Return JSON only:
{
  ""diagnosis"": ""Probable Alzheimer-type neurocognitive disorder or Depression-related cognitive impairment"",
  ""confidence"": number from 0 to 100,
  ""more_information_needed"": true or false
}

Confidence means your estimated probability that your chosen interpretation is correct based only on the information provided.
Do not provide medical advice.
Do not explain your reasoning."
T_ATNCD_DRCI_S01_03_P01_AB_letters_ATNCD_first,ATNCD_DRCI_S01_03,1,Probable Alzheimer-type neurocognitive disorder vs depression-related cognitive impairment,strong_AT_NCD,missing,ATNCD01;ATNCD03;ATNCD06;ATNCD04;M01;M02;M08,8,AT_NCD,True,True,moderate,P01_AB_letters_ATNCD_first,letter_options_ATNCD_first,Probable Alzheimer-type neurocognitive disorder,Depression-related cognitive impairment,A_or_B,A,"A 75-year-old patient presents with a history suggestive of progressive memory decline over approximately two years. The patient reports forgetting appointments and needing help with medication management. Brief bedside testing suggests impaired delayed recall. No collateral informant is available, and no formal neuropsychological testing or brain imaging has been performed.","You are given a synthetic clinical vignette for a research study.

Choose the more likely clinical interpretation from the two options provided, based only on the information in the vignette.

Options:
A. Probable Alzheimer-type neurocognitive disorder
B. Depression-related cognitive impairment

Vignette:
A 75-year-old patient presents with a history suggestive of progressive memory decline over approximately two years. The patient reports forgetting appointments and needing help with medication management. Brief bedside testing suggests impaired delayed recall. No collateral informant is available, and no formal neuropsychological testing or brain imaging has been performed.

Return JSON only:
{
  ""diagnosis"": ""A or B"",
  ""confidence"": number from 0 to 100,
  ""more_information_needed"": true or false
}

Confidence means your estimated probability that your chosen interpretation is correct based only on the information provided.
Do not provide medical advice.
Do not explain your reasoning."
T_ATNCD_DRCI_S01_03_P02_BA_letters_DRCI_first,ATNCD_DRCI_S01_03,1,Probable Alzheimer-type neurocognitive disorder vs depression-related cognitive impairment,strong_AT_NCD,missing,ATNCD01;ATNCD03;ATNCD06;ATNCD04;M01;M02;M08,8,AT_NCD,True,True,moderate,P02_BA_letters_DRCI_first,letter_options_DRCI_first,Depression-related cognitive impairment,Probable Alzheimer-type neurocognitive disorder,A_or_B,B,"A 75-year-old patient presents with a history suggestive of progressive memory decline over approximately two years. The patient reports forgetting appointments and needing help with medication management. Brief bedside testing suggests impaired delayed recall. No collateral informant is available, and no formal neuropsychological testing or brain imaging has been performed.","You are given a synthetic clinical vignette for a research study.

Choose the more likely clinical interpretation from the two options provided, based only on the information in the vignette.

Options:
A. Depression-related cognitive impairment
B. Probable Alzheimer-type neurocognitive disorder

Vignette:
A 75-year-old patient presents with a history suggestive of progressive memory decline over approximately two years. The patient reports forgetting appointments and needing help with medication management. Brief bedside testing suggests impaired delayed recall. No collateral informant is available, and no formal neuropsychological testing or brain imaging has been performed.

Return JSON only:
{
  ""diagnosis"": ""A or B"",
  ""confidence"": number from 0 to 100,
  ""more_information_needed"": true or false
}

Confidence means your estimated probability that your chosen interpretation is correct based only on the information provided.
Do not provide medical advice.
Do not explain your reasoning."
T_ATNCD_DRCI_S01_03_P03_named_options_ATNCD_first,ATNCD_DRCI_S01_03,1,Probable Alzheimer-type neurocognitive disorder vs depression-related cognitive impairment,strong_AT_NCD,missing,ATNCD01;ATNCD03;ATNCD06;ATNCD04;M01;M02;M08,8,AT_NCD,True,True,moderate,P03_named_options_ATNCD_first,named_options_ATNCD_first,Probable Alzheimer-type neurocognitive disorder,Depression-related cognitive impairment,full_diagnosis_label,Probable Alzheimer-type neurocognitive disorder,"A 75-year-old patient presents with a history suggestive of progressive memory decline over approximately two years. The patient reports forgetting appointments and needing help with medication management. Brief bedside testing suggests impaired delayed recall. No collateral informant is available, and no formal neuropsychological testing or brain imaging has been performed.","You are given a synthetic clinical vignette for a research study.

Choose the more likely clinical interpretation from the two options provided, based only on the information in the vignette.

Options:
- Probable Alzheimer-type neurocognitive disorder
- Depression-related cognitive impairment

Vignette:
A 75-year-old patient presents with a history suggestive of progressive memory decline over approximately two years. The patient reports forgetting appointments and needing help with medication management. Brief bedside testing suggests impaired delayed recall. No collateral informant is available, and no formal neuropsychological testing or brain imaging has been performed.

Return JSON only:
{
  ""diagnosis"": ""Probable Alzheimer-type neurocognitive disorder or Depression-related cognitive impairment"",
  ""confidence"": number from 0 to 100,
  ""more_information_needed"": true or false
}

Confidence means your estimated probability that your chosen interpretation is correct based only on the information provided.
Do not provide medical advice.
Do not explain your reasoning."
T_ATNCD_DRCI_S01_04_P01_AB_letters_ATNCD_first,ATNCD_DRCI_S01_04,1,Probable Alzheimer-type neurocognitive disorder vs depression-related cognitive impairment,moderate_AT_NCD,clear,ATNCD01;ATNCD02;ATNCD03;ATNCD04;N03;ATNCD18,9,AT_NCD,True,False,moderate,P01_AB_letters_ATNCD_first,letter_options_ATNCD_first,Probable Alzheimer-type neurocognitive disorder,Depression-related cognitive impairment,A_or_B,A,"A 72-year-old patient has developed increasing forgetfulness over the past year. The spouse reports repeated questions and mild difficulty keeping track of appointments. Cognitive screening shows reduced delayed recall, but daily function is mostly preserved. The patient does not report significant depressive symptoms.","You are given a synthetic clinical vignette for a research study.

Choose the more likely clinical interpretation from the two options provided, based only on the information in the vignette.

Options:
A. Probable Alzheimer-type neurocognitive disorder
B. Depression-related cognitive impairment

Vignette:
A 72-year-old patient has developed increasing forgetfulness over the past year. The spouse reports repeated questions and mild difficulty keeping track of appointments. Cognitive screening shows reduced delayed recall, but daily function is mostly preserved. The patient does not report significant depressive symptoms.

Return JSON only:
{
  ""diagnosis"": ""A or B"",
  ""confidence"": number from 0 to 100,
  ""more_information_needed"": true or false
}

Confidence means your estimated probability that your chosen interpretation is correct based only on the information provided.
Do not provide medical advice.
Do not explain your reasoning."
