feature_id,diagnostic_pair,feature_class,diagnosis_supported,weight,category,vignette_phrase,rationale,reference_key,source_url,notes,active
ATNCD01,Probable Alzheimer-type neurocognitive disorder vs depression-related cognitive impairment,core_feature,AT_NCD,2,course,Cognitive symptoms began insidiously and worsened gradually over 18–24 months,Gradual onset and progressive worsening support a probable Alzheimer-type syndrome.,McKhann_2011,https://pmc.ncbi.nlm.nih.gov/articles/PMC3312024/,,True
ATNCD02,Probable Alzheimer-type neurocognitive disorder vs depression-related cognitive impairment,core_feature,AT_NCD,2,collateral/course,Family reports clear decline from the patient’s previous level of functioning,Informant-supported decline strengthens a dementia-syndrome interpretation.,McKhann_2011,https://pmc.ncbi.nlm.nih.gov/articles/PMC3312024/,,True
ATNCD03,Probable Alzheimer-type neurocognitive disorder vs depression-related cognitive impairment,core_feature,AT_NCD,2,episodic memory,The patient repeatedly forgets recent conversations despite reminders,Recent-memory impairment is typical of an amnestic Alzheimer-type presentation.,McKhann_2011,https://pmc.ncbi.nlm.nih.gov/articles/PMC3312024/,,True
ATNCD04,Probable Alzheimer-type neurocognitive disorder vs depression-related cognitive impairment,core_feature,AT_NCD,2,objective testing,Delayed recall is impaired on cognitive testing,Objective impairment in delayed recall supports an amnestic profile.,McKhann_2011,https://pmc.ncbi.nlm.nih.gov/articles/PMC3312024/,,True
ATNCD05,Probable Alzheimer-type neurocognitive disorder vs depression-related cognitive impairment,core_feature,AT_NCD,2,encoding/storage,Recognition cues do not substantially improve memory performance,Poor cue benefit suggests storage/encoding impairment rather than pure retrieval difficulty.,McKhann_2011,https://pmc.ncbi.nlm.nih.gov/articles/PMC3312024/,Experimental simplification; not a standalone diagnostic rule.,True
ATNCD06,Probable Alzheimer-type neurocognitive disorder vs depression-related cognitive impairment,core_feature,AT_NCD,2,function,The patient has increasing difficulty managing finances or medications because of memory errors,Functional interference is required for dementia-level impairment.,McKhann_2011,https://pmc.ncbi.nlm.nih.gov/articles/PMC3312024/,,True
ATNCD07,Probable Alzheimer-type neurocognitive disorder vs depression-related cognitive impairment,core_feature,AT_NCD,2,insight/collateral,Collateral history confirms worsening memory despite the patient minimizing symptoms,Reduced awareness may occur in Alzheimer-type dementia.,Starkstein_2014,https://pubmed.ncbi.nlm.nih.gov/25481465/,,True
ATNCD08,Probable Alzheimer-type neurocognitive disorder vs depression-related cognitive impairment,core_feature,AT_NCD,2,longitudinal evidence,Serial cognitive testing shows decline compared with a prior assessment,Documented longitudinal decline supports neurodegenerative progression.,McKhann_2011,https://pmc.ncbi.nlm.nih.gov/articles/PMC3312024/,,True
ATNCD09,Probable Alzheimer-type neurocognitive disorder vs depression-related cognitive impairment,core_feature,AT_NCD,2,imaging support,MRI report notes medial temporal or hippocampal atrophy,Medial temporal atrophy can support an Alzheimer-type neurodegenerative pattern.,McKhann_2011,https://pmc.ncbi.nlm.nih.gov/articles/PMC3312024/,"Supportive, not definitive; avoid biomarker-confirmed claims.",True
ATNCD10,Probable Alzheimer-type neurocognitive disorder vs depression-related cognitive impairment,core_feature,AT_NCD,2,cognitive profile,"The primary deficit is memory, with additional word-finding or executive difficulties",An amnestic syndrome with other domain involvement is compatible with Alzheimer-type dementia.,McKhann_2011,https://pmc.ncbi.nlm.nih.gov/articles/PMC3312024/,,True
ATNCD11,Probable Alzheimer-type neurocognitive disorder vs depression-related cognitive impairment,core_feature,AT_NCD,1,visuospatial/function,The patient gets lost on familiar routes or needs help navigating previously familiar places,Visuospatial difficulties can occur in Alzheimer-type syndromes.,McKhann_2011,https://pmc.ncbi.nlm.nih.gov/articles/PMC3312024/,,True
ATNCD12,Probable Alzheimer-type neurocognitive disorder vs depression-related cognitive impairment,core_feature,AT_NCD,1,insight,The patient shows reduced insight into the severity of cognitive problems,"Anosognosia is common in Alzheimer’s disease, but is not diagnostic alone.",Starkstein_2014,https://pubmed.ncbi.nlm.nih.gov/25481465/,,True
ATNCD13,Probable Alzheimer-type neurocognitive disorder vs depression-related cognitive impairment,core_feature,AT_NCD,1,persistence,Symptoms persist despite improved sleep and mood,Persistence despite mood improvement weakly supports neurodegenerative etiology.,McKhann_2011,https://pmc.ncbi.nlm.nih.gov/articles/PMC3312024/,,True
ATNCD14,Probable Alzheimer-type neurocognitive disorder vs depression-related cognitive impairment,core_feature,AT_NCD,1,collateral pattern,Cognitive deficits are observed by others more than complained of by the patient,Informant-observed decline is often important in dementia assessment.,McKhann_2011,https://pmc.ncbi.nlm.nih.gov/articles/PMC3312024/,,True
ATNCD15,Probable Alzheimer-type neurocognitive disorder vs depression-related cognitive impairment,core_feature,AT_NCD,1,function,There is loss of independence in complex instrumental activities of daily living,Functional interference supports a dementia-level syndrome.,McKhann_2011,https://pmc.ncbi.nlm.nih.gov/articles/PMC3312024/,,True
ATNCD16,Probable Alzheimer-type neurocognitive disorder vs depression-related cognitive impairment,core_feature,AT_NCD,1,new learning,"The patient has difficulty learning a new appliance, route, or medication schedule",New learning impairment is compatible with an amnestic Alzheimer-type syndrome.,McKhann_2011,https://pmc.ncbi.nlm.nih.gov/articles/PMC3312024/,,True
ATNCD17,Probable Alzheimer-type neurocognitive disorder vs depression-related cognitive impairment,core_feature,AT_NCD,1,course,Cognitive decline is not temporally linked to an acute mood episode,A course independent of mood symptoms weakly supports neurodegenerative etiology.,McKhann_2011,https://pmc.ncbi.nlm.nih.gov/articles/PMC3312024/,,True
ATNCD18,Probable Alzheimer-type neurocognitive disorder vs depression-related cognitive impairment,core_feature,AT_NCD,1,absence of depression,There is no prominent current depressed mood or anhedonia,Absence of prominent depressive symptoms weakly supports AT-NCD over DRCI.,Mouta_2023,https://gpsych.bmj.com/content/36/4/e100939,,True
ATNCD19,Probable Alzheimer-type neurocognitive disorder vs depression-related cognitive impairment,core_feature,AT_NCD,1,course,Cognitive symptoms are described as steadily progressive rather than fluctuating day to day,A steady progressive course supports neurodegeneration more than mood-linked variability.,McKhann_2011,https://pmc.ncbi.nlm.nih.gov/articles/PMC3312024/,,True
ATNCD20,Probable Alzheimer-type neurocognitive disorder vs depression-related cognitive impairment,core_feature,AT_NCD,1,safety/function,"The patient makes repeated safety-relevant errors, such as leaving the stove on",Safety-relevant functional errors support a clinically significant cognitive disorder.,McKhann_2011,https://pmc.ncbi.nlm.nih.gov/articles/PMC3312024/,,True
DRCI01,Probable Alzheimer-type neurocognitive disorder vs depression-related cognitive impairment,core_feature,DRCI,-2,course,Cognitive complaints began during a clinically significant depressive episode,Temporal linkage to depressive illness supports depression-related cognitive impairment.,Mouta_2023,https://gpsych.bmj.com/content/36/4/e100939,,True
DRCI02,Probable Alzheimer-type neurocognitive disorder vs depression-related cognitive impairment,core_feature,DRCI,-2,depressive syndrome,The patient reports persistent low mood most days,Persistent low mood supports depressive syndrome.,Mouta_2023,https://gpsych.bmj.com/content/36/4/e100939,,True
DRCI03,Probable Alzheimer-type neurocognitive disorder vs depression-related cognitive impairment,core_feature,DRCI,-2,depressive syndrome,The patient reports marked anhedonia and loss of interest,Anhedonia supports depressive syndrome.,Mouta_2023,https://gpsych.bmj.com/content/36/4/e100939,,True
DRCI04,Probable Alzheimer-type neurocognitive disorder vs depression-related cognitive impairment,core_feature,DRCI,-2,vegetative symptoms,"Sleep disturbance, fatigue, and low energy dominate the presentation",Vegetative symptoms commonly accompany depression and can worsen cognition.,Mouta_2023,https://gpsych.bmj.com/content/36/4/e100939,,True
DRCI05,Probable Alzheimer-type neurocognitive disorder vs depression-related cognitive impairment,core_feature,DRCI,-2,subjective distress,The patient is highly distressed by memory lapses and repeatedly emphasizes cognitive failure,Prominent subjective distress is compatible with depression-related cognitive complaints.,Mouta_2023,https://gpsych.bmj.com/content/36/4/e100939,,True
